PS Name,PS Name_enc
Vazhakulam,6.2
Angamaly,9.357142857142858
Kalady,6.461538461538462
Kodanadu,4.2727272727272725
Kothamangalam,9.615384615384615
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Puthencruz,5.615384615384615
Vazhakulam,6.2
Aluva,7.416666666666667
Angamaly,9.357142857142858
Binanipuram,2.0
Chottanikkara,2.5555555555555554
Kalady,6.461538461538462
Kodanadu,4.2727272727272725
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Muvattupuzha,11.071428571428571
Perumbavoor,7.384615384615385
Puthencruz,5.615384615384615
Angamaly,9.357142857142858
Kalady,6.461538461538462
Kothamangalam,9.615384615384615
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Nedumbassery,5.666666666666667
Njarakkal,7.0
Oonnukal,2.4545454545454546
Varapuzha,2.6
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kalloorkadu,1.75
Kodanadu,4.2727272727272725
Kothamangalam,9.615384615384615
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Binanipuram,2.0
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kalloorkadu,1.75
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kottapady,1.4
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Ramamangalam,2.875
Thadiyittaparambu,2.4
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Binanipuram,2.0
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Kalady,6.461538461538462
Kothamangalam,9.615384615384615
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Vazhakulam,6.2
Angamaly,9.357142857142858
Binanipuram,2.0
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Edathala,2.4444444444444446
Kalady,6.461538461538462
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kottapady,1.4
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Aluva,7.416666666666667
Angamaly,9.357142857142858
Ayyampuzha,1.0
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kuruppumpady,5.416666666666667
Kuttampuzha,1.0
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Njarakkal,7.0
North Parur ,8.23076923076923
Perumbavoor,7.384615384615385
Piravom,3.3
Puthencruz,5.615384615384615
Ramamangalam,2.875
Thadiyittaparambu,2.4
Vadakkekara,6.4
Aluva,7.416666666666667
Angamaly,9.357142857142858
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kunnathunadu,5.555555555555555
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Perumbavoor,7.384615384615385
Puthencruz,5.615384615384615
Ramamangalam,2.875
Vadakkekara,6.4
Varapuzha,2.6
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Ayyampuzha,1.0
Binanipuram,2.0
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kottapady,1.4
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Ramamangalam,2.875
Thadiyittaparambu,2.4
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Kanjikuzhy,1.8
Adimali,4.25
Cumbummettu,1.0
Devikulam,1.3333333333333333
Idukki,1.8
Kaliyar,3.0
Kanjar,2.75
Kanjikuzhy,1.8
Karimannoor,2.0
Karimkunnam,2.6
Kattappana,5.545454545454546
Kulamavu,1.6666666666666667
Kumali,2.4444444444444446
Marayoor,1.0
Munnar,2.6
Muttom,1.75
Nedumkandam,3.2222222222222223
Peerumedu,2.0
Peruvanthanam,3.0
Rajakkadu,3.3333333333333335
Santhanpara,1.3333333333333333
Thankamoney,2.1666666666666665
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Upputhara,1.4
Vandanmedu,1.7142857142857142
Vandiperiyar,2.125
Vellathooval,3.0
Adimali,4.25
Cumbummettu,1.0
Kaliyar,3.0
Kanjar,2.75
Karimannoor,2.0
Karimkunnam,2.6
Kattappana,5.545454545454546
Kumali,2.4444444444444446
Nedumkandam,3.2222222222222223
Peerumedu,2.0
Thankamoney,2.1666666666666665
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Upputhara,1.4
Vandanmedu,1.7142857142857142
Vandiperiyar,2.125
Vellathooval,3.0
Adimali,4.25
Cumbummettu,1.0
Idukki,1.8
Kanjar,2.75
Kattappana,5.545454545454546
Kulamavu,1.6666666666666667
Kumali,2.4444444444444446
Munnar,2.6
Nedumkandam,3.2222222222222223
Peerumedu,2.0
Rajakkadu,3.3333333333333335
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Vellathooval,3.0
Adimali,4.25
Kanjar,2.75
Kanjikuzhy,1.8
Karimannoor,2.0
Kattappana,5.545454545454546
Kumali,2.4444444444444446
Munnar,2.6
Muttom,1.75
Peerumedu,2.0
Peruvanthanam,3.0
Rajakkadu,3.3333333333333335
Thankamoney,2.1666666666666665
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Upputhara,1.4
Vandanmedu,1.7142857142857142
Vandiperiyar,2.125
Vellathooval,3.0
Adimali,4.25
Kanjar,2.75
Muttom,1.75
Thodupuzha,8.307692307692308
Devikulam,1.3333333333333333
Muttom,1.75
Thodupuzha,8.307692307692308
Muttom,1.75
Vandiperiyar,2.125
Adimali,4.25
Idukki,1.8
Kaliyar,3.0
Kanjar,2.75
Kanjikuzhy,1.8
Karimannoor,2.0
Kattappana,5.545454545454546
Kumali,2.4444444444444446
Nedumkandam,3.2222222222222223
Santhanpara,1.3333333333333333
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Vandanmedu,1.7142857142857142
Vandiperiyar,2.125
Adimali,4.25
Cumbummettu,1.0
Idukki,1.8
Kaliyar,3.0
Kanjar,2.75
Karimkunnam,2.6
Kattappana,5.545454545454546
Kulamavu,1.6666666666666667
Kumali,2.4444444444444446
Muttom,1.75
Nedumkandam,3.2222222222222223
Peerumedu,2.0
Peruvanthanam,3.0
Rajakkadu,3.3333333333333335
Santhanpara,1.3333333333333333
Thankamoney,2.1666666666666665
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Upputhara,1.4
Vandanmedu,1.7142857142857142
Vandiperiyar,2.125
Vellathooval,3.0
Adimali,4.25
Karimannoor,2.0
Kattappana,5.545454545454546
Nedumkandam,3.2222222222222223
Thodupuzha,8.307692307692308
Udummbanchola  PS,1.75
Vellathooval,3.0
Adimali,4.25
Kattappana,5.545454545454546
Kumali,2.4444444444444446
Peruvanthanam,3.0
Thodupuzha,8.307692307692308
Vandanmedu,1.7142857142857142
Adimali,4.25
Kattappana,5.545454545454546
Munnar,2.6
Muttom,1.75
Nedumkandam,3.2222222222222223
Peerumedu,2.0
Rajakkadu,3.3333333333333335
Thankamoney,2.1666666666666665
Thodupuzha,8.307692307692308
Vandanmedu,1.7142857142857142
Vandiperiyar,2.125
Vellathooval,3.0
Adimali,4.25
Kanjikuzhy,1.8
Karimkunnam,2.6
Kattappana,5.545454545454546
Kumali,2.4444444444444446
Nedumkandam,3.2222222222222223
Peerumedu,2.0
Thodupuzha,8.307692307692308
Adimali,4.25
Devikulam,1.3333333333333333
Idukki,1.8
Kaliyar,3.0
